sample,dose,replicate,GAPDH,MGMT
GSC923,0,2,26823.229,4389.317
GSC923,0,3,19805.894,3476.66
GSC923,0,4,16035.288,2513.397
GSC923,25,2,10698.853,2715.761
GSC923,25,3,13674.974,2115.154
GSC923,25,4,11526.803,2437.225
GSC923,50,2,12326.045,1703.083
GSC923,50,3,13040.409,2226.347
GSC923,50,4,12068.823,2112.861
GSC923,100,2,7952.903,1658.719
GSC923,100,3,8804.196,2381.376
GSC923,100,4,10228.095,1190.406
GSC923,200,2,13183.459,1286.941
GSC923,200,3,20138.945,1027.406
GSC923,200,4,14458.095,285.849
GSC274,0,2,17454.803,6071.903
GSC274,0,3,16053.51,4110.589
GSC274,0,4,12700.752,3398.882
GSC274,25,2,12480.631,1862.326
GSC274,25,3,12615.924,3562.882
GSC274,25,4,12653.146,3653.933
GSC274,50,2,16165.995,3375.468
GSC274,50,3,17280.238,3596.175
GSC274,50,4,13502.874,3057.933
GSC274,100,2,11303.681,1795.74
GSC274,100,3,10966.388,1455.962
GSC274,100,4,12570.217,1588.79
GSC274,200,2,19574.945,898.991
GSC274,200,3,20534.53,1290.548
GSC274,200,4,21593.187,922.234
GSC403,0,2,18264.146,12110.853
GSC403,0,3,22682.317,15703.702
GSC403,0,4,17504.368,13858.116
GSC403,25,2,19837.731,12154.874
GSC403,25,3,19653.388,16611.581
GSC403,25,4,5951.832,6915.217
GSC403,50,2,6728.317,5953.095
GSC403,50,3,19427.267,16218.167
GSC403,50,4,18507.56,13321.338
GSC403,100,2,18135.267,2607.569
GSC403,100,3,17819.924,1107.184
GSC403,100,4,12452.439,1101.184
GSC403,200,1,10663.874,1841.79
GSC403,200,3,20391.752,2342.69
GSC403,200,4,23447.317,3986.832
NHA,0,2,12841.51,8292.974
NHA,0,3,12308.489,8526.439
NHA,0,4,10865.368,7095.317
NHA,25,2,12150.681,6376.974
NHA,25,3,14158.267,7656.146
NHA,25,4,14297.61,8275.267
NHA,50,2,11324.388,5260.489
NHA,50,3,9230.368,4221.589
NHA,50,4,14121.853,5422.953
NHA,100,2,10012.782,2553.276
NHA,100,3,11216.146,1719.497
NHA,100,4,14097.924,1968.74
TS603,0,2,21636.702,21407.602
TS603,0,3,21451.945,18116.409
TS603,0,4,22468.217,15726.288
TS603,25,2,21276.167,16390.288
TS603,25,3,21291.045,15659.924
TS603,25,4,21505.338,9188.095
TS603,50,2,23858.146,9596.56
TS603,50,3,21326.51,15874.409
TS603,50,4,24179.116,14437.874
TS603,100,2,21819.752,7655.146
TS603,100,3,21066.53,10304.167
TS603,100,4,22340.844,5980.317
TS603,200,2,25961.409,1432.134
TS603,200,3,23699.945,1983.033
TS603,200,4,25466.631,1158.062
MGG119,0,2,19507.974,23311.844
MGG119,0,3,14854.56,22119.602
MGG119,0,4,14539.439,22451.258
MGG119,25,2,11639.61,20942.945
MGG119,25,3,14930.267,20993.773
MGG119,25,4,15929.731,19863.116
MGG119,50,2,16390.075,19804.844
MGG119,50,3,16384.731,21987.723
MGG119,50,4,13891.146,20505.137
MGG119,100,2,17385.024,21694.652
MGG119,100,3,18068.681,16480.066
MGG119,100,4,16623.51,14358.894
MGG119,200,2,15565.095,8691.288
MGG119,200,3,19100.924,7247.681
MGG119,200,4,13875.803,4809.66
DIPG17,0,2,15665.045,17141.288
DIPG17,0,3,19659.51,7540.853
DIPG17,0,4,17300.631,14409.338
DIPG17,25,2,14339.803,10156.045
DIPG17,25,3,14831.803,9631.217
DIPG17,25,4,15941.924,9639.853
DIPG17,50,2,16062.146,7695.56
DIPG17,50,3,16406.731,9670.974
DIPG17,50,4,16432.489,8094.731
DIPG17,100,2,14888.317,3879.882
DIPG17,100,3,16350.388,4799.368
DIPG17,100,4,13136.56,2936.933
DIPG17,200,2,13722.51,1971.326
DIPG17,200,3,16327.459,2057.447
DIPG17,200,4,14609.681,1444.548
